Codigo Pais,Region,Año,Tasa de natalidad,Tasa de mortalidad,Consumo de energía eléctrica (kWh per cápita),PIB (USD),PIB per cápita (USD),Personas que utilizan Internet (% de la población),Tasa de mortalidad infantil,Esperanza de vida al nacer (años),Densidad de población (habitantes por km2 de superficie terrestre),Desempleo (% de la fuerza laboral total)
6,0,2004,9.7,9.1,7808.16,301000000000.0,36821.5,54.28,4.2,79.1805,98.9582,5.834
6,0,2003,9.5,9.5,7695.08,262000000000.0,32222.9,42.7,4.3,78.6317,98.3461,4.779
6,0,2002,9.7,9.4,7427.66,213000000000.0,26401.7,36.56,4.4,78.678,97.8682,4.849
6,0,2001,9.4,9.3,7333.23,197000000000.0,24537.5,39.1855,4.5,78.5756,97.3879,4.007
6,0,2000,9.8,9.6,7076.27,197000000000.0,24564.5,33.7301,4.6,78.1268,97.0158,4.687
6,0,1999,9.8,9.8,6972.19,217000000000.0,27174.3,23.0443,4.7,77.8756,96.7828,4.698
6,0,1998,10.2,9.8,6706.71,218000000000.0,27361.9,15.4212,4.8,77.6707,96.5947,5.523
6,0,1997,10.5,10.0,6620.45,213000000000.0,26705.5,9.53397,5.0,77.3195,96.4888,5.149
6,0,1996,11.2,10.2,6607.22,237000000000.0,29809.1,6.90916,5.3,76.8707,96.3795,5.281
6,0,1995,11.2,10.2,6344.39,241000000000.0,30325.8,1.89021,5.7,76.6683,96.2494,4.347
6,0,1994,11.6,10.2,6205.8,204000000000.0,25646.7,1.39342,6.2,76.4195,96.1022,3.535
6,0,1993,12.0,10.4,6137.27,190000000000.0,24081.5,0.765343,6.7,76.0683,95.733,4.25
6,0,1992,12.2,10.6,6227.5,195000000000.0,24880.2,0.642818,7.2,75.8171,94.9468,3.59
6,0,1991,12.2,10.8,6347.22,174000000000.0,22410.9,0.259082,7.6,75.6171,93.9076,3.42
7,0,2014,17.9,5.8,2202.39,75244300000.0,7891.31,75.0,25.0,72.022,115.349,4.91
7,0,2013,18.3,5.8,2092.54,74164400000.0,7875.76,73.0,26.8,71.768,113.923,4.97
7,0,2012,18.8,5.9,2052.65,69683900000.0,7496.29,54.2,28.7,71.506,112.461,5.19
7,0,2011,19.2,5.9,1705.42,65951600000.0,7189.69,50.0,30.7,71.234,110.976,5.42
7,0,2010,18.3,5.9,1603.43,52902700000.0,5842.81,46.0,32.8,70.938,109.542,5.63
7,0,2009,17.0,5.9,1620.39,44291500000.0,4950.29,27.4,34.9,70.597,108.291,5.74
7,0,2008,17.4,6.0,2040.76,48852500000.0,5574.6,17.08,37.2,70.201,106.06,6.05
7,0,2007,17.7,6.3,2118.21,33050300000.0,3851.44,14.54,39.5,69.752,103.853,6.54
7,0,2006,17.6,6.2,2552.29,20983000000.0,2473.08,11.9922,42.0,69.259,102.673,6.62
7,0,2005,16.9,6.2,2388.39,13245700000.0,1578.4,8.03038,44.6,68.747,101.523,7.3
7,0,2002,13.5,5.7,1996.71,6235860000.0,763.081,4.99971,53.9,67.391,98.9125,10.0
7,0,2001,13.6,5.6,2106.47,5707720000.0,703.684,0.305565,57.5,67.054,98.1938,10.9
7,0,2000,14.5,5.8,2040.48,5272620000.0,655.097,0.147758,61.3,66.763,97.4348,11.8
7,0,1999,14.7,5.8,2022.49,4581250000.0,573.893,0.0992289,65.0,66.491,96.5208,10.9
7,0,1998,15.7,5.9,1936.94,4446370000.0,561.907,0.0374851,68.4,66.207,95.2318,10.0
7,0,1997,16.8,6.0,1813.67,3962740000.0,505.564,0.0251879,71.4,65.899,94.1905,9.1
7,0,1996,16.6,6.2,1852.89,3176700000.0,409.211,0.00635459,73.7,65.573,93.2862,8.1
7,0,1995,18.9,6.7,1951.98,3052470000.0,397.198,0.00205556,75.4,65.256,92.3489,7.2
7,0,1994,21.4,7.3,1961.83,3313940000.0,436.217,0.00143141,76.3,64.991,91.2914,6.3
8,1,2014,15.426,2.337,2166.12,33387700000.0,24989.4,90.5031,6.6,76.624,73.6825,1.149
8,1,2013,15.727,2.331,2166.12,32539500000.0,24744.4,90.0,6.7,76.484,73.6825,1.216
8,1,2012,16.005,2.326,2166.12,30749300000.0,23654.4,88.0,6.8,76.342,73.6825,1.2
8,1,2011,16.271,2.324,2166.12,28776600000.0,22514.2,77.0,7.0,76.2,73.6825,1.14
8,1,2010,16.547,2.327,2166.12,25713300000.0,20722.1,55.0,7.3,76.057,73.6825,1.13
8,1,2009,16.863,2.337,2166.12,22938200000.0,19355.9,53.0,7.6,75.913,73.6825,1.069
8,1,2008,17.239,2.357,2166.12,25710900000.0,23066.5,51.95,8.0,75.77,73.6825,0.835
8,1,2007,17.685,2.388,2166.12,21730000000.0,20976.5,32.91,8.4,75.625,73.6825,0.838
8,1,2006,18.203,2.43,2166.12,18505100000.0,19307.9,28.244,8.8,75.478,73.6825,0.905
8,1,2005,18.778,2.483,2166.12,15968700000.0,17959.3,21.3037,9.1,75.326,73.6825,0.986
8,1,2004,19.385,2.545,2166.12,13150200000.0,15846.6,21.4587,9.4,75.167,73.6825,1.041
8,1,2003,19.996,2.615,2166.12,11074800000.0,14222.0,21.5549,9.7,74.999,73.6825,1.064
8,1,2002,20.591,2.688,2166.12,9632160000.0,13102.4,18.0507,10.0,74.822,73.6825,1.054
8,1,2001,21.166,2.763,2166.12,8976210000.0,12868.3,15.0386,10.3,74.635,73.6825,1.031
8,1,2000,21.722,2.835,2166.12,9062910000.0,13636.4,6.15373,10.8,74.44,73.6825,1.053
8,1,1999,22.271,2.901,2166.12,6621010000.0,10401.5,4.72036,11.4,74.239,73.6825,1.079
8,1,1998,22.835,2.96,2166.12,6183780000.0,10076.2,3.2182,12.1,74.033,73.6825,1.06
8,1,1997,23.431,3.012,2166.12,6349200000.0,10672.2,1.6463,13.1,73.826,73.6825,1.086
8,1,1996,24.069,3.058,2166.12,6101860000.0,10544.7,0.843254,14.3,73.619,73.6825,1.106
8,1,1995,24.77,3.1,2166.12,5849470000.0,10377.0,0.346206,15.5,73.413,73.6825,1.128
9,5,2014,19.501,5.565,320.204,173000000000.0,1118.85,13.9,31.3,71.231,73.6825,4.411
9,5,2013,19.862,5.589,301.961,150000000000.0,981.84,6.63,33.0,70.93,73.6825,4.426
9,5,2012,20.245,5.625,283.462,133000000000.0,883.105,5.0,34.9,70.606,73.6825,4.048
9,5,2011,20.657,5.673,265.639,129000000000.0,861.758,4.5,36.8,70.256,73.6825,3.718
9,5,2010,21.107,5.734,247.263,115000000000.0,781.154,3.7,38.9,69.881,73.6825,3.379
9,5,2009,21.605,5.807,226.048,102000000000.0,702.264,3.1,41.0,69.485,73.6825,5.0
9,5,2008,22.153,5.892,207.527,91631300000.0,634.987,2.5,43.2,69.072,73.6825,4.077
9,5,2007,22.747,5.987,206.105,79611900000.0,558.052,1.8,45.5,68.648,73.6825,3.768
9,5,2006,23.384,6.092,196.94,71819100000.0,509.64,1.0,48.0,68.213,73.6825,3.591
9,5,2005,24.053,6.205,176.077,69442900000.0,499.462,0.241637,50.4,67.773,73.6825,4.25
